Week,Heat_OilF,Henry_Spot,Nat_GasF
2015-07-28,1.596225,2.8575000000000004,2.7977500000000006
2015-08-03,1.5420000000000003,2.792,2.7938
2015-08-10,1.5737,2.876,2.841
2015-08-17,1.5178800000000001,2.7479999999999998,2.7157999999999998
2015-08-24,1.44828,2.694,2.6762
2015-08-31,1.6151,2.688,2.6837999999999997
2015-09-08,1.564275,2.706,2.68425
2015-09-14,1.51306,2.702,2.6806
2015-09-21,1.51956,2.612,2.5748
2015-09-28,1.50542,2.4880000000000004,2.5114000000000005
2015-10-05,1.58642,2.376,2.4787999999999997
2015-10-12,1.48788,2.476,2.4868
2015-10-19,1.45344,2.382,2.3987999999999996
2015-10-26,1.46168,2.1180000000000003,2.1529999999999996
2015-11-02,1.51064,2.022,2.3012000000000006
2015-11-09,1.4399000000000002,2.106,2.3007999999999997
2015-11-16,1.37534,2.09,2.3047999999999997
2015-11-23,1.3822750000000001,2.1480000000000006,2.207
2015-11-30,1.34236,2.13,2.1995999999999998
2015-12-07,1.22968,1.9619999999999997,2.0408
2015-12-14,1.1198000000000001,1.718,1.8056
2015-12-21,1.102025,1.6759999999999997,1.95275
2015-12-28,1.099925,2.268,2.28775
2016-01-04,1.09002,2.3820000000000006,2.356
2016-01-11,0.9779,2.322,2.2321999999999997
2016-01-19,0.9169,2.2039999999999997,2.1215
2016-01-25,1.00284,2.222,2.2014
2016-02-01,1.0531,2.112,2.05
2016-02-08,1.00892,2.1580000000000004,2.0488
2016-02-16,1.0549,1.936,1.8752499999999999
2016-02-22,1.0515599999999998,1.8240000000000003,1.7766000000000002
2016-02-29,1.1127,1.5740000000000003,1.6872
2016-03-07,1.21786,1.6460000000000001,1.7528
2016-03-14,1.2198,1.7879999999999998,1.8762
2016-03-21,1.22285,1.786,1.82275
2016-03-28,1.16236,1.8560000000000003,1.9324
2016-04-04,1.12598,1.956,1.9742000000000002
2016-04-11,1.2485399999999998,1.904,1.9647999999999999
2016-04-18,1.2880000000000003,1.904,2.0610000000000004
2016-04-25,1.3569600000000002,1.918,2.0692
2016-05-02,1.3366200000000001,1.9579999999999997,2.0892000000000004
2016-05-09,1.36352,2.0,2.136
2016-05-16,1.47188,1.886,2.0357999999999996
2016-05-23,1.49484,1.8359999999999999,2.0318
2016-05-31,1.4983250000000001,2.1500000000000004,2.368
2016-06-06,1.53646,2.3600000000000003,2.5162
2016-06-13,1.47978,2.586,2.5974000000000004
2016-06-20,1.50496,2.75,2.7104
2016-06-27,1.486,2.8899999999999997,2.8814
2016-07-05,1.4349,2.822,2.782
2016-07-11,1.41284,2.812,2.7312000000000003
2016-07-18,1.379,2.7960000000000003,2.7154
2016-07-25,1.2980399999999999,2.848,2.7760000000000007
2016-08-01,1.28946,2.8840000000000003,2.7898
2016-08-08,1.3572399999999998,2.772,2.6122000000000005
2016-08-15,1.4891999999999999,2.7359999999999998,2.6168
2016-08-22,1.49822,2.8240000000000003,2.7906000000000004
2016-08-29,1.4318,2.94,2.8302
2016-09-06,1.4368999999999998,2.868,2.7490000000000006
2016-09-12,1.41348,3.0200000000000005,2.9175999999999997
2016-09-19,1.4179800000000002,3.1100000000000003,2.9966
2016-09-26,1.4776,3.008,2.962
2016-10-03,1.573,2.912,3.034
2016-10-11,1.57525,3.1719999999999997,3.26825
2016-10-17,1.56924,3.136,3.1622
2016-10-24,1.56126,2.72,2.841
2016-10-31,1.47348,2.504,2.8511999999999995
2016-11-07,1.4398500000000003,2.218,2.6927499999999998
2016-11-14,1.43382,2.4419999999999997,2.7536
2016-11-21,1.5094249999999998,2.7640000000000002,3.01075
2016-11-28,1.57048,3.2120000000000006,3.368
2016-12-05,1.63534,3.6839999999999997,3.6666
2016-12-12,1.6608399999999999,3.5740000000000003,3.474
2016-12-19,1.6603,3.508,3.4793999999999996
2016-12-27,1.7016749999999998,3.684,3.80425
2017-01-03,1.691775,3.468,3.288
2017-01-09,1.64568,3.268,3.282
2017-01-17,1.6305,3.2939999999999996,3.3215000000000003
2017-01-23,1.6278399999999997,3.2659999999999996,3.3253999999999997
2017-01-30,1.64186,3.126,3.1534
2017-02-06,1.64014,3.0439999999999996,3.0962000000000005
2017-02-13,1.6323,2.872,2.8924
2017-02-21,1.6423,2.618,2.5999999999999996
2017-02-27,1.6115000000000002,2.522,2.7794
2017-03-06,1.5616400000000001,2.7520000000000002,2.9216
2017-03-13,1.5035399999999997,2.9539999999999997,2.9623999999999997
2017-03-20,1.5003800000000003,2.988,3.0544000000000002
2017-03-27,1.5387,3.026,3.1408
2017-04-03,1.6000999999999999,3.1740000000000004,3.2558
2017-04-10,1.64985,3.0460000000000003,3.2005
2017-04-17,1.59366,3.0999999999999996,3.1506000000000003
2017-04-24,1.5271599999999999,3.088,3.1531999999999996
2017-05-01,1.4556600000000002,3.136,3.218
2017-05-08,1.4712599999999998,3.118,3.2982
2017-05-15,1.5375,3.2079999999999997,3.2418
2017-05-22,1.5858599999999998,3.176,3.2355999999999994
2017-05-30,1.5128,3.0300000000000002,3.0557499999999997
2017-06-05,1.4390399999999999,2.982,3.0221999999999998
2017-06-12,1.4249800000000001,3.028,3.0031999999999996
2017-06-19,1.38282,2.8920000000000003,2.9034000000000004
2017-06-26,1.4296799999999998,3.0100000000000002,3.0416
2017-07-05,1.4695333333333334,2.948,2.8639999999999994
2017-07-10,1.48206,2.962,2.9804
2017-07-17,1.5240200000000002,3.088,3.0374000000000008
2017-07-24,1.5847200000000001,2.9620000000000006,2.9354
2017-07-31,1.6479,2.7979999999999996,2.7996
2017-08-07,1.63764,2.854,2.8948
2017-08-14,1.59642,2.946,2.9212000000000002
2017-08-21,1.6060200000000002,2.968,2.934
2017-08-28,1.69576,2.9300000000000006,2.9869999999999997
2017-09-05,1.764825,2.908,2.96075
2017-09-11,1.7656199999999997,2.9619999999999997,3.0206
2017-09-18,1.79816,3.0919999999999996,3.0534
2017-09-25,1.8383200000000002,2.96,2.9669999999999996
2017-10-02,1.76422,2.84,2.9074
2017-10-09,1.76974,2.918,2.9204
2017-10-16,1.8014799999999997,2.838,2.9099999999999993
2017-10-23,1.8273800000000002,2.914,2.9052
2017-10-30,1.87304,2.7779999999999996,2.9348
2017-11-06,1.9335,3.118,3.1748
2017-11-13,1.9192999999999998,3.096,3.0998
2017-11-20,1.9335333333333333,3.0480000000000005,3.010666666666667
2017-11-27,1.93092,2.944,3.0534
2017-12-04,1.8991,2.844,2.8711999999999995
2017-12-11,1.9203999999999997,2.768,2.7034
2017-12-18,1.9457799999999998,2.69,2.6678
2017-12-26,2.0515749999999997,3.025,2.8120000000000003
2018-01-02,2.070525,5.710000000000001,2.9347499999999997
2018-01-08,2.0707999999999998,3.2399999999999998,2.9896000000000003
2018-01-16,2.0631500000000003,4.125,3.18375
2018-01-22,2.1001,3.428,3.4257999999999997
2018-01-29,2.0779199999999998,3.3019999999999996,3.1046000000000005
2018-02-05,1.9424800000000002,2.748,2.6978
2018-02-12,1.8724400000000003,2.538,2.5742
2018-02-20,1.945525,2.6225,2.6335
2018-02-26,1.92552,2.638,2.6764
2018-03-05,1.8840599999999998,2.742,2.7436
2018-03-12,1.8860800000000002,2.71,2.7328
2018-03-19,1.97418,2.6540000000000004,2.6344000000000003
2018-03-26,2.02015,2.6700000000000004,2.6850000000000005
2018-04-02,1.9773600000000002,2.7860000000000005,2.6948
2018-04-09,2.0676200000000002,2.7760000000000002,2.689
2018-04-16,2.09018,2.83,2.7256
2018-04-23,2.14308,2.8020000000000005,2.7798000000000003
2018-04-30,2.13106,2.754,2.7512
2018-05-07,2.2011,2.758,2.7660000000000005
2018-05-14,2.26282,2.804,2.8398
2018-05-21,2.2639799999999997,2.836,2.9021999999999997
2018-05-29,2.196325,2.88,2.9185
2018-06-04,2.1529800000000003,2.92,2.9072000000000005
2018-06-11,2.15066,2.994,2.9676
2018-06-18,2.1112,2.9859999999999998,2.947
2018-06-25,2.15882,2.9799999999999995,2.9444
2018-07-02,2.1676333333333333,2.9050000000000002,2.8523333333333336
2018-07-09,2.15496,2.888,2.7988
2018-07-16,2.08184,2.782,2.7492
2018-07-23,2.1467799999999997,2.788,2.7659999999999996
2018-07-30,2.1317999999999997,2.8,2.8012
2018-08-06,2.13514,2.9539999999999997,2.9210000000000003
2018-08-13,2.1101400000000003,2.9979999999999998,2.9365999999999994
2018-08-20,2.1566599999999996,3.0140000000000002,2.9516
2018-08-27,2.2316000000000003,2.972,2.8826
2018-09-04,2.229125,2.9425,2.7915
2018-09-10,2.23204,2.934,2.8089999999999997
2018-09-17,2.22854,3.0300000000000002,2.9216
2018-09-24,2.31318,3.0639999999999996,3.0409999999999995
2018-10-01,2.4089400000000003,3.2340000000000004,3.1596
2018-10-08,2.37328,3.2960000000000003,3.2399999999999998
2018-10-15,2.31478,3.2619999999999996,3.2498000000000005
2018-10-22,2.27994,3.318,3.1806
2018-10-29,2.2359,3.28,3.2308
2018-11-05,2.19256,3.5760000000000005,3.5878
2018-11-12,2.09236,4.2299999999999995,4.2072
2018-11-19,2.0156,4.666666666666667,4.558
2018-11-26,1.8613,4.434,4.496599999999999
2018-12-03,1.8832,4.488000000000001,4.40275
2018-12-10,1.8527799999999999,4.38,4.207800000000001
2018-12-17,1.77368,3.728,3.6982
2018-12-26,1.6922,3.2566666666666664,3.496
2018-12-31,1.72315,2.9233333333333333,2.97175
2019-01-07,1.8544,2.8899999999999997,2.9926
2019-01-14,1.8839200000000003,3.498,3.4742000000000006
2019-01-22,1.8918,3.1900000000000004,3.07425
2019-01-28,1.8850200000000001,2.902,2.8526
2019-02-04,1.90522,2.594,2.6236
2019-02-11,1.9460200000000003,2.6559999999999997,2.6206
2019-02-19,2.0200750000000003,2.7125,2.678
2019-02-25,2.00384,2.91,2.8322
2019-03-04,2.01188,3.282,2.8626
2019-03-11,1.98492,2.8919999999999995,2.8052
2019-03-18,1.9841000000000002,2.8579999999999997,2.8236
2019-03-25,1.97926,2.714,2.7164
2019-04-01,2.01192,2.7020000000000004,2.6752
2019-04-08,2.0655,2.724,2.6862
2019-04-15,2.070825,2.625,2.54225
2019-04-22,2.094,2.5580000000000003,2.5042
2019-04-29,2.07566,2.596,2.5888
2019-05-06,2.05108,2.596,2.577
2019-05-13,2.08046,2.6659999999999995,2.6302
2019-05-20,2.02716,2.664,2.601
2019-05-28,1.9292,2.655,2.554
2019-06-03,1.8042200000000002,2.446,2.3716
2019-06-10,1.80886,2.412,2.3708
2019-06-17,1.8513599999999997,2.396,2.2722
2019-06-24,1.94014,2.34,2.3068
2019-07-01,1.9150333333333334,2.3066666666666666,2.308333333333333
2019-07-08,1.9511200000000002,2.474,2.4281999999999995
2019-07-15,1.9002400000000002,2.436,2.3112
2019-07-22,1.90972,2.298,2.249
2019-07-29,1.91054,2.242,2.1668000000000003
2019-08-05,1.7994800000000002,2.114,2.1022
2019-08-12,1.83006,2.2119999999999997,2.1653999999999995
2019-08-19,1.8403200000000002,2.27,2.1818
2019-08-26,1.8303,2.2800000000000002,2.2527999999999997
2019-09-03,1.8680750000000002,2.4625000000000004,2.4335
2019-09-09,1.905,2.636,2.5810000000000004
2019-09-16,2.00758,2.632,2.6116
2019-09-23,1.96304,2.524,2.4728
2019-09-30,1.8895200000000003,2.33,2.3082000000000003
2019-10-07,1.9222199999999998,2.2600000000000002,2.2514
2019-10-14,1.9325800000000002,2.2459999999999996,2.3120000000000003
2019-10-21,1.9629,2.254,2.2816
2019-10-28,1.9285599999999998,2.6159999999999997,2.6162
2019-11-04,1.9326599999999998,2.814,2.8144
2019-11-11,1.91804,2.6900000000000004,2.6386000000000003
2019-11-18,1.90566,2.5759999999999996,2.5734000000000004
2019-11-25,1.9504666666666666,2.485,2.500666666666667
2019-12-02,1.91478,2.374,2.386
2019-12-09,1.95514,2.2379999999999995,2.2725999999999997
2019-12-16,2.0219,2.276,2.3094
2019-12-23,2.0413,2.03,2.222
2019-12-30,2.0469,2.065,2.1567499999999997
2020-01-06,1.9725166666666665,2.092,2.1612
2020-01-13,1.8806166666666666,2.064,2.1138
2020-01-21,1.7705000000000002,1.9325,1.90475
2020-01-27,1.6626333333333332,1.954,1.8741666666666665
2020-02-03,1.6247833333333332,1.8940000000000001,1.8438333333333334
2020-02-10,1.6653833333333337,1.8980000000000001,1.8256666666666668
2020-02-18,1.68246,1.9974999999999998,1.9278
2020-02-24,1.5188666666666668,1.8650000000000002,1.7956666666666665
2020-03-02,1.4544499999999998,1.795,1.7485
2020-03-09,1.2140333333333333,1.8849999999999998,1.8253333333333333
2020-03-16,1.0329500000000003,1.785,1.7013333333333336
2020-03-23,1.0706,1.7266666666666663,1.6385000000000003
2020-03-30,1.01814,1.6199999999999999,1.6306
2020-04-06,1.02386,1.7675,1.7604
2020-04-13,0.9636,1.72,1.7016666666666669
2020-04-20,0.7468,1.8539999999999999,1.8345
2020-04-27,0.7254166666666667,1.706,1.8948333333333336
2020-05-04,0.8636,1.8379999999999999,1.9191666666666667
2020-05-11,0.8853500000000002,1.6260000000000001,1.7016666666666669
2020-05-18,0.9900333333333333,1.78,1.7588333333333335
2020-05-26,1.0138200000000002,1.7650000000000001,1.8669999999999998
2020-06-01,1.079,1.698,1.8038333333333332
2020-06-08,1.13235,1.704,1.7796666666666665
2020-06-15,1.1738833333333336,1.524,1.6628333333333334
2020-06-22,1.1874500000000001,1.568,1.6611666666666667
2020-06-29,1.19014,1.7066666666666663,1.6856000000000002
2020-07-06,1.2351,1.784,1.8034999999999999
2020-07-13,1.2285833333333334,1.766,1.7441666666666664
2020-07-20,1.2577999999999998,1.716,1.7245
2020-07-27,1.2509000000000001,1.84,1.7610000000000001
